Date,BIL,SPY
2007-05-01,74.08163452148438,109.16683197021484
2007-06-01,74.40510559082031,107.10904693603516
2007-07-01,74.37277221679688,104.20268249511719
2007-08-01,74.71866607666016,105.53984832763672
2007-09-01,74.87370300292969,109.1081771850586
2007-10-01,75.19572448730469,111.11299896240234
2007-11-01,75.5080795288086,106.80933380126953
2007-12-01,75.49337768554688,105.04907989501953
2008-01-01,76.23423767089844,99.22152709960938
2008-02-01,76.16790771484375,96.65739440917969
2008-03-01,76.3921890258789,95.32112884521484
2008-04-01,76.3705825805664,100.35870361328125
2008-05-01,76.47042846679688,101.87580871582031
2008-06-01,76.66080474853516,92.89678955078125
2008-07-01,76.78961181640625,92.52252960205078
2008-08-01,76.833251953125,93.95233917236328
2008-09-01,77.22876739501953,84.61474609375
2008-10-01,77.04954528808594,71.0464096069336
2008-11-01,77.03739929199219,66.10110473632812
2008-12-01,77.04903411865234,66.21116638183594
2009-01-01,77.29142761230469,61.267616271972656
2009-02-01,77.27457427978516,54.68448257446289
2009-03-01,77.27119445800781,58.81929016113281
2009-04-01,77.31671142578125,65.12556457519531
2009-05-01,77.33020782470703,68.9323959350586
2009-06-01,77.32178497314453,68.50032043457031
2009-07-01,77.2779312133789,74.02661895751953
2009-08-01,77.3302230834961,76.76113891601562
2009-09-01,77.35042572021484,79.1061019897461
2009-10-01,77.35379791259766,77.95477294921875
2009-11-01,77.32347869873047,82.75733184814453
2009-12-01,77.34199523925781,83.88648223876953
2010-01-01,77.34876251220703,81.27304077148438
2010-02-01,77.33190155029297,83.80831909179688
2010-03-01,77.33190155029297,88.54589080810547
2010-04-01,77.29815673828125,90.2859878540039
2010-05-01,77.33190155029297,83.11235046386719
2010-06-01,77.34876251220703,78.4388656616211
2010-07-01,77.3150405883789,84.19495391845703
2010-08-01,77.3150405883789,80.40785217285156
2010-09-01,77.3150405883789,87.14221954345703
2010-10-01,77.33190155029297,90.95556640625
2010-11-01,77.33190155029297,90.95556640625
2010-12-01,77.3150405883789,96.52850341796875
2011-01-01,77.3150405883789,99.297119140625
2011-02-01,77.3150405883789,102.74642181396484
2011-03-01,77.3150405883789,102.3143081665039
2011-04-01,77.3150405883789,105.73481750488281
2011-05-01,77.33190155029297,104.54902648925781
2011-06-01,77.33190155029297,102.27827453613281
2011-07-01,77.33190155029297,100.72918701171875
2011-08-01,77.33190155029297,95.1915283203125
2011-09-01,77.3150405883789,88.12728881835938
2011-10-01,77.28130340576172,98.2518539428711
2011-11-01,77.29815673828125,97.85256958007812
2011-12-01,77.28130340576172,98.2518539428711
2012-01-01,77.267822265625,103.46025848388672
2012-02-01,77.28467559814453,107.95098876953125
2012-03-01,77.267822265625,110.93692779541016
2012-04-01,77.28467559814453,110.67927551269531
2012-05-01,77.28467559814453,104.03236389160156
2012-06-01,77.25096130371094,107.69607543945312
2012-07-01,77.25096130371094,109.53473663330078
2012-08-01,77.25096130371094,112.27883911132812
2012-09-01,77.25096130371094,114.513916015625
2012-10-01,77.267822265625,113.03014373779297
2012-11-01,77.25096130371094,113.6698226928711
2012-12-01,77.25096130371094,113.87776947021484
2013-01-01,77.25096130371094,120.5561752319336
2013-02-01,77.25096130371094,122.09435272216797
2013-03-01,77.25096130371094,126.1693115234375
2013-04-01,77.23407745361328,129.16519165039062
2013-05-01,77.25096130371094,132.2147674560547
2013-06-01,77.23407745361328,129.7637939453125
2013-07-01,77.23407745361328,137.1917266845703
2013-08-01,77.23407745361328,133.0770263671875
2013-09-01,77.21720886230469,136.62245178222656
2013-10-01,77.20037078857422,143.6457977294922
2013-11-01,77.18354034423828,147.9031219482422
2013-12-01,77.18354034423828,150.9183807373047
2014-01-01,77.18354034423828,146.38925170898438
2014-02-01,77.20037078857422,153.05224609375
2014-03-01,77.18354034423828,153.64378356933594
2014-04-01,77.18354034423828,155.39466857910156
2014-05-01,77.18354034423828,159.0008544921875
2014-06-01,77.16661834716797,161.50946044921875
2014-07-01,77.14978790283203,160.1026611328125
2014-08-01,77.16661834716797,166.4208526611328
2014-09-01,77.16661834716797,163.36131286621094
2014-10-01,77.14978790283203,167.9901885986328
2014-11-01,77.14978790283203,172.60519409179688
2014-12-01,77.13288879394531,171.22238159179688
2015-01-01,77.11605072021484,167.06614685058594
2015-02-01,77.11605072021484,176.45603942871094
2015-03-01,77.11605072021484,172.91285705566406
2015-04-01,77.09917449951172,175.39271545410156
2015-05-01,77.08234405517578,177.64755249023438
2015-06-01,77.08234405517578,173.19674682617188
2015-07-01,77.08234405517578,177.97059631347656
2015-08-01,77.08234405517578,167.123291015625
2015-09-01,77.04859161376953,162.01670837402344
2015-10-01,77.0317153930664,176.7117156982422
2015-11-01,77.04859161376953,177.3575897216797
2015-12-01,77.0317153930664,173.2612762451172
2016-01-01,77.04859161376953,165.61495971679688
2016-02-01,77.04859161376953,165.47821044921875
2016-03-01,77.04859161376953,175.7030487060547
2016-04-01,77.08234405517578,177.30531311035156
2016-05-01,77.08234405517578,180.3215789794922
2016-06-01,77.06549835205078,180.01217651367188
2016-07-01,77.09917449951172,187.54774475097656
2016-08-01,77.09917449951172,187.77232360839844
2016-09-01,77.11605072021484,186.83946228027344
2016-10-01,77.13288879394531,184.52761840820312
2016-11-01,77.09917449951172,191.3253173828125
2016-12-01,77.06549835205078,194.0600128173828
2017-01-01,77.14981079101562,198.6969451904297
2017-02-01,77.16667938232422,206.5040740966797
2017-03-01,77.1548843383789,205.86656188964844
2017-04-01,77.2088851928711,208.8144989013672
2017-05-01,77.21563720703125,211.76150512695312
